Unmatched;Matched
Frunze;Kirgizistan
Osh;Kirgizistan
East Aegean Is. ;East Aegean Is.
Israel-Jordan;"Israel;Jordan"
Astrakhan;South European Russia
Kalmykia;Northwest European Russia
Orenburg;Northwest European Russia
Rostov-Don;
Saratov;
Volgograd;
Gorno-Badakshan;
Kulyab;
Kurgan-Tyube;
Leninabad;
Ashkhabad;
Chardzhou;
Krasnovodsk;
Mary;
Tashauz;
Andizhan;
Dzhizak;
Fergana;
Karakalpakia;
Kashkadarinskaya;
Khorezm;
Namangan;
Surhandarinskaya;
Syr-Darya;
Bayankhongor;
Pacific Ocean;
Umnu-Govi;
Quebec;
Czech Republic  Slovakia;
Turkey in Europe;
Kurgan;
Bashkiria;
Belgorod;
Bryansk;
Kursk;
Lipetsk;
Mordovia;
Moscow;
Orel;
Penza;
Ryazan;
Tambov;
Ulyanovsk;
Voronezh;
Chernovtsy;
Donetsk;
Ivano-Frankovsk;
Kherson;
Khmelnitski;
Kiev;
Poltava;
Rovno;
Volynia;
Zakarpatskaya;
District Of Columbia;
Massachusetts;
Crete;
Sicily;
Ceara;
Trindade-Martin Vaz;
Brest;
Minsk;
Vitebsk;
Faroe Is.;
Arkhangelsk;
Gorki;
Ivanovo;
Kalinin;
Kaluga;
Karelia;
Komi;
Kostroma;
Leningrad;
Mari;
Murmansk;
Pskov;
Smolensk;
Tula;
Vladimir;
Vologda;
Yaroslavl;
Entre Rios;
Gomel;
Dornogovi;
Kirov;
Udmurtia;
Nikolaev;
Goias;
Piaui;
Karacheyevo-Cherkessia;
Asia;
Bulgan;
Dornod;
Dundgovi;
Khenti;
Khovd;
Khuvsgul;
Selenge;
Sukh Baatar;
Tuv;
Uvs;
Uvurkhangai;
Zavkhan;
Alaska-Aleutian Is.;
Gorno-Altaisk;
Jewish;
Khakassia;
Kustanai;
Vostochno-Kazakhstanskaya;
Kemerovo;
Novosibirsk;
Yakutiya;
Issyk-Kul;
Govi-Altai;
Middle East;
Mogilev;
Chuvashia;
Komi-Permyak;
Kuibyshev;
Novgorod;
Perm;
Tataria;
Cherkassy;
Chernigov;
Zhitomir;
Checheno-Ingushetia;
Kabardino-Balkaria;
Dnepropetrovsk;
Kharkov;
Voroshilovgrad;
Bayan-Ulgi;
Severo-Osetia;
British Colombia;
Sverdlovsk;
Kirovograd;
Lvov;
Sumy;
Ternopol;
Vinnitsa;
Grodno;
Kokchetav;
Chelyabinsk;
Evenki;
Omsk;
Tomsk;
Tyumen;
Yamalo-Nenets;
North America;
Zaporozhye;
Arkangai;
Severo-Kazakhstanskaya;
Chukot;
Tajmyr;
Nenets;
Novaya Zemlya Is.;
Distrito Federal ;
Mexico State;
Michoacan;
San Luis Potosi;
Transvaal;
Astove I.;
Cosmoledo I.;
Cocos ;
Bougainville;
Kazan Retto;
Samoa-JML;
Tubai Is.;
Western Samoa;
Khanty-Mansijsk;
Aginskoe;
Indian Ocean;
Paraiba;
Alagoas State;
Cordoba;
Santa Fe;
Nuevo Leon;
Zanzibar;
Sao Tome;
character;
Neuquen;
Farquahar Group;
Wake Is.;
Alphonse Group;
Ascension I.;
Adygea;
Ust-Ordynski;
Gibraltar;
Tuamotu Is.;
Yukon Territory;
Aisen;
Koryak;
Queretaro;
Platte I.;
Orange Free State;
Franz Josef Land;
Ngl;
St Helena;
Spitzbergen;
